Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
NE 122ND AVE / E BURNSIDE ST,23-15194,Person,Hazelwood,1/17/2023,0112,Assault Offenses,Aggravated Assault,45.522585530,-122.537765536,7679877,683208,1/17/2023,1
NE 122ND AVE / NE HALSEY ST,23-2793,Society,Russell,1/4/2023,0023,Weapon Law Violations,Weapons Law Violations,45.533572958,-122.537636848,7680011,687212,1/4/2023,1
NE 122ND AVE / NE SAN RAFAEL ST,23-43775,Society,Russell,2/16/2023,1821,Weapon Law Violations,Weapons Law Violations,45.537216894,-122.537607590,7680052,688540,2/16/2023,1
NE 122ND AVE&SANDY BLVD RAMP / NE SANDY BLVD&122ND AVE RAMP,23-903486,Property,Argay,2/24/2023,0000,Larceny Offenses,Theft From Motor Vehicle,45.556221291,-122.536989551,7680385,695463,2/26/2023,1
NE 141ST AVE / E BURNSIDE ST,23-41148,Person,Hazelwood,2/13/2023,2213,Assault Offenses,Aggravated Assault,45.522433870,-122.518378263,7684843,683028,2/13/2023,1
NE 147TH AVE / NE EVERETT ST,23-901878,Property,Hazelwood,1/25/2023,0900,Vandalism,Vandalism,45.524823678,-122.511952923,7686511,683858,1/25/2023,1
NE 160TH AVE / NE GLISAN ST,23-23341,Property,Wilkes,12/25/2022,0000,Motor Vehicle Theft,Motor Vehicle Theft,45.526427714,-122.498957621,7689855,684360,1/25/2023,1
NE ALBERTA ST / NE 23RD AVE,23-13394,Property,Concordia,1/14/2023,2145,Motor Vehicle Theft,Motor Vehicle Theft,45.559061037,-122.641907319,7653547,697193,1/15/2023,1
NE BRAZEE ST / NE 49TH AVE,23-900675,Property,Rose City Park,10/14/2022,2000,Larceny Offenses,Theft From Motor Vehicle,45.540570149,-122.612942586,7660787,690258,1/6/2023,1
NE BROADWAY / NE 15TH AVE,23-12883,Property,Irvington,1/14/2023,1410,Larceny Offenses,Theft From Motor Vehicle,45.535037031,-122.650475643,7651120,688495,1/14/2023,1
NE BROADWAY / NE 15TH AVE,23-31941,Property,Irvington,2/3/2023,2336,Larceny Offenses,Theft From Motor Vehicle,45.535037031,-122.650475643,7651120,688495,2/3/2023,1
NE BROADWAY / NE 15TH AVE,23-31941,Property,Irvington,2/3/2023,2336,Vandalism,Vandalism,45.535037031,-122.650475643,7651120,688495,2/3/2023,1
NE BUFFALO ST / NE 12TH AVE,23-37490,Property,Woodlawn,2/9/2023,2110,Motor Vehicle Theft,Motor Vehicle Theft,45.574937285,-122.652687569,7650941,703053,2/9/2023,1
NE COLUMBIA BLVD / NE 17TH AVE,23-19802,Property,Sunderland,1/21/2023,2146,Vandalism,Vandalism,45.577517744,-122.648206675,7652113,703963,1/21/2023,1
NE COLUMBIA BLVD / NE 63RD AVE,23-24663,Property,Cully,1/26/2023,2219,Motor Vehicle Theft,Motor Vehicle Theft,45.568456312,-122.598540098,7664740,700326,1/26/2023,1
NE CULLY BLVD / NE EMERSON ST,23-8803,Property,Cully,1/9/2023,2100,Motor Vehicle Theft,Motor Vehicle Theft,45.561361366,-122.595535909,7665442,697720,1/10/2023,1
NE DAVIS ST / NE 3RD AVE,23-900033,Property,Kerns,1/1/2023,1000,Vandalism,Vandalism,45.524364827,-122.662725592,7647878,684689,1/1/2023,1
NE DAVIS ST / NE 14TH AVE,23-32392,Property,Kerns,2/4/2023,1249,Motor Vehicle Theft,Motor Vehicle Theft,45.524327342,-122.651568825,7650736,684599,2/4/2023,1
NE EVERETT ST / NE 6TH AVE,23-42303,Society,Kerns,2/15/2023,0734,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.525067005,-122.659672672,7648667,684924,2/15/2023,1
NE EVERETT ST / NE 30TH AVE,23-901204,Society,Kerns,1/15/2023,1800,Animal Cruelty Offenses,Animal Cruelty,45.525038092,-122.634495717,7655117,684742,1/15/2023,1
NE EVERETT ST / NE 50TH AVE,23-467,Property,North Tabor,12/31/2022,2000,Motor Vehicle Theft,Motor Vehicle Theft,45.525080134,-122.612026541,7660874,684606,1/1/2023,1
NE FAILING ST / NE 82ND AVE,23-29068,Society,Roseway,1/31/2023,1657,Weapon Law Violations,Weapons Law Violations,45.551002577,-122.578709689,7669653,693833,1/31/2023,1
NE FREMONT ST / NE 83RD AVE,23-9418,Society,Madison South,1/10/2023,2118,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.548131602,-122.577714253,7669881,692780,1/11/2023,1
NE FREMONT ST / NE 102ND AVE,23-50708,Property,Parkrose,2/22/2023,2100,Motor Vehicle Theft,Motor Vehicle Theft,45.548106272,-122.557768019,7674989,692640,2/24/2023,1
NE GLASS PLANT RD / NE ALDERWOOD RD,23-51688,Society,,2/25/2023,1707,Animal Cruelty Offenses,Animal Cruelty,45.567070941,-122.556159137,7675577,699542,2/25/2023,1
NE GLISAN ST / NE 15TH AVE,23-40700,Property,Kerns,2/7/2023,2200,Motor Vehicle Theft,Motor Vehicle Theft,45.526571743,-122.650537525,7651022,685410,2/13/2023,1
NE GLISAN ST / NE 18TH AVE,23-31771,Property,Kerns,2/3/2023,1800,Motor Vehicle Theft,Motor Vehicle Theft,45.526557429,-122.647488474,7651803,685384,2/3/2023,1
NE GLISAN ST / NE 66TH AVE,23-901202,Property,North Tabor,1/16/2023,2030,Larceny Offenses,Theft From Motor Vehicle,45.526474025,-122.595684629,7665074,685005,1/17/2023,1
NE GLISAN ST / NE 102ND AVE,23-46144,Person,Hazelwood,2/19/2023,0830,Assault Offenses,Aggravated Assault,45.526271695,-122.558151511,7674688,684684,2/19/2023,2
NE GLISAN ST / NE 102ND AVE,23-46743,Property,Hazelwood,2/20/2023,0039,Vandalism,Vandalism,45.526271695,-122.558151511,7674688,684684,2/20/2023,1
NE GLISAN ST / NE 106TH AVE,23-8044,Society,Hazelwood,1/9/2023,1322,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.526282103,-122.553889589,7675780,684660,1/9/2023,1
NE GLISAN ST / NE 122ND AVE,23-3156,Person,Hazelwood,1/4/2023,1030,Assault Offenses,Aggravated Assault,45.526292331,-122.537750258,7679915,684559,1/4/2023,1
NE GLISAN ST / NE 122ND AVE,23-26016,Property,Hazelwood,1/28/2023,1330,Motor Vehicle Theft,Motor Vehicle Theft,45.526292331,-122.537750258,7679915,684559,1/28/2023,1
NE GLISAN ST / NE 162ND AVE,23-2655,Society,,1/3/2023,2037,Weapon Law Violations,Weapons Law Violations,45.526423183,-122.496377483,7690516,684342,1/3/2023,1
NE GLISAN ST / NE I205 FWY&GLISAN ST RAMP,23-25007,Society,Montavilla,1/27/2023,0943,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.526330593,-122.566030335,7672670,684757,1/27/2023,1
NE GRAND AVE / E BURNSIDE ST,23-902867,Property,Kerns,1/19/2023,1945,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,45.522932188,-122.660707758,7648381,684153,1/22/2023,1
NE GRAND AVE / NE AINSWORTH ST,23-27121,Property,Woodlawn,1/26/2023,1631,Motor Vehicle Theft,Motor Vehicle Theft,45.566454956,-122.660392741,7648886,700014,1/29/2023,1
NE GRAND AVE / NE BROADWAY,23-39718,Property,Eliot,2/11/2023,2330,Motor Vehicle Theft,Motor Vehicle Theft,45.535066058,-122.660630874,7648519,688575,2/12/2023,1
NE GRAND AVE / NE MASON ST,23-30705,Property,King,2/2/2023,0543,Motor Vehicle Theft,Motor Vehicle Theft,45.553307321,-122.660548273,7648718,695223,2/2/2023,1
NE GRAND AVE / NE OREGON ST,23-901922,Property,Lloyd,1/21/2023,1950,Larceny Offenses,Theft From Motor Vehicle,45.528639747,-122.660667353,7648447,686233,1/22/2023,1
NE GRAND AVE / NE OREGON ST,23-904352,Property,Lloyd,2/12/2023,0530,Vandalism,Vandalism,45.528639747,-122.660667353,7648447,686233,2/12/2023,1
NE GRAND AVE / NE PRESCOTT ST,23-28784,Society,King,1/31/2023,1145,Drug/Narcotic Offenses,Drug/Narcotic Violations,45.555499748,-122.660534116,7648743,696022,1/31/2023,1
NE GRAND AVE / NE WASCO ST,23-901253,Property,Lloyd,1/15/2023,1700,Larceny Offenses,Theft From Motor Vehicle,45.532220583,-122.660647494,7648487,687538,1/16/2023,1
