"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"46","0 BLOCK OF NW 10TH AVE","22-160529","Property","Pearl","6/16/2022",357,"Burglary","Burglary",45.523337732,-122.681066395,7643169,684441,"6/16/2022",1
"47","0 BLOCK OF NW 13TH AVE","22-119904","Property","Pearl","5/6/2022",1000,"Burglary","Burglary",45.52328313,-122.684229759,7642358,684443,"5/6/2022",1
"48","0 BLOCK OF NW 14TH AVE","22-316518","Property","Pearl","11/28/2022",0,"Burglary","Burglary",45.523255553,-122.685103006,7642134,684439,"11/28/2022",1
"49","0 BLOCK OF NW 20TH AVE","22-99678","Property","Northwest","3/29/2022",302,"Burglary","Burglary",45.523413553,-122.692220673,7640312,684546,"4/15/2022",1
"50","0 BLOCK OF NW 23RD PL","22-291613","Property","Northwest","10/30/2022",2130,"Burglary","Burglary",45.524109012,-122.69976125,7638387,684852,"10/31/2022",1
"51","0 BLOCK OF NW 23RD PL","22-913898","Property","Northwest","5/15/2022",530,"Burglary","Burglary",45.524109012,-122.69976125,7638387,684852,"5/16/2022",1
"52","0 BLOCK OF NW BROADWAY","22-96916","Property","Old Town/Chinatown","4/12/2022",422,"Burglary","Burglary",45.523402225,-122.677376481,7644115,684439,"4/12/2022",1
"53","0 BLOCK OF NW BROADWAY","22-187174","Property","Old Town/Chinatown","7/13/2022",129,"Burglary","Burglary",45.523402225,-122.677376481,7644115,684439,"7/13/2022",1
"54","0 BLOCK OF NW PARK AVE","22-908939","Property","Pearl","3/19/2022",739,"Burglary","Burglary",45.523371398,-122.679147333,7643661,684440,"3/31/2022",1
"55","0 BLOCK OF S MEADE ST","22-143116","Property","South Portland","5/25/2022",1846,"Burglary","Burglary",45.502918969,-122.677176505,7643965,676972,"5/29/2022",1
"56","0 BLOCK OF SE 16TH AVE","22-210310","Property","Buckman East","8/5/2022",1921,"Burglary","Burglary",45.522539441,-122.64961199,7651220,683934,"8/5/2022",1
"57","0 BLOCK OF SE 16TH AVE","22-317651","Property","Buckman East","11/28/2022",1709,"Burglary","Burglary",45.522539441,-122.64961199,7651220,683934,"11/29/2022",1
"58","0 BLOCK OF SE 28TH AVE","22-139383","Property","Kerns","5/26/2022",456,"Burglary","Burglary",45.522501971,-122.637206664,7654398,683836,"5/26/2022",1
"59","0 BLOCK OF SE 28TH AVE","22-298913","Property","Kerns","11/8/2022",503,"Burglary","Burglary",45.522501971,-122.637206664,7654398,683836,"11/8/2022",1
"60","0 BLOCK OF SE 57TH AVE","22-928037","Property","Mt Tabor","9/20/2022",2045,"Burglary","Burglary",45.522450698,-122.604907224,7662673,683600,"10/6/2022",1
"61","0 BLOCK OF SE 79TH AVE","22-903165","Property","Montavilla","1/23/2022",1400,"Burglary","Burglary",45.522392675,-122.582494139,7668415,683430,"2/1/2022",1
"62","0 BLOCK OF SE 82ND AVE","22-6548","Property","Montavilla","1/8/2022",315,"Burglary","Burglary",45.522368293,-122.578992284,7669312,683398,"1/8/2022",1
"63","0 BLOCK OF SE 82ND AVE","22-280574","Property","Montavilla","10/19/2022",517,"Burglary","Burglary",45.522368293,-122.578992284,7669312,683398,"10/19/2022",1
"64","0 BLOCK OF SE 82ND AVE","22-286230","Property","Montavilla","10/19/2022",500,"Burglary","Burglary",45.522368293,-122.578992284,7669312,683398,"10/25/2022",1
"65","0 BLOCK OF SE 90TH AVE","22-919679","Property","Montavilla","7/11/2022",100,"Burglary","Burglary",45.522181842,-122.571238109,7671297,683279,"7/12/2022",1
"66","0 BLOCK OF SE 103RD AVE","22-139376","Property","Hazelwood","5/17/2022",1100,"Burglary","Burglary",45.522120369,-122.556943343,7674959,683163,"5/26/2022",1
"67","0 BLOCK OF SE GRAND AVE","22-192015","Property","Buckman West","7/18/2022",503,"Burglary","Burglary",45.522573907,-122.660647286,7648393,684022,"7/18/2022",1
"68","0 BLOCK OF SE GRAND AVE","22-217465","Property","Buckman West","8/13/2022",232,"Burglary","Burglary",45.522573907,-122.660647286,7648393,684022,"8/13/2022",1
"69","0 BLOCK OF SE GRAND AVE","22-244069","Property","Buckman West","9/10/2022",418,"Burglary","Burglary",45.522573907,-122.660647286,7648393,684022,"9/10/2022",1
